,Comments
180,"***What I am about to say is simply my opinion and not stating fact.<br><br>     Let me start with 20 years ago. My then wife suffering from SLE, an immune disorder, and I had twins. <br>Any time one of the twins had a sniffle, runny nose, cough, etc... she would just stuff them full of baby medicines.<br>I get the maternal instinct to comfort your children, but in my opinion it was too much.<br><br>     Perhaps her mother did the same, but my parents never coddled my sisters and I when we had a sniffle our cough.<br>my parents would just &quot; Keep an eye on us &quot; and monitor. If things worsened, they took action. I would catch colds or<br>flu and my parents would make me stay in bed and watch tv. my mom would come in from time to time to check<br>my temperature and give me chicken soup. To this day, I am rarely sick. The last time I had the flu was 1996, and I never <br>get the flu shot.<br><br>     Anyway, back to my then wife...she would simply over do it with the medicines on our children and I kept telling her<br>to let them fight through it but monitor the symptoms and fever. She thought I was cruel and uncaring. She acted like<br>I wanted our children to suffer. I told her that I do care and I certainly do not want them to suffer, however, our newborn children&#39;s<br>immune systems are still in the developing stage and if you have all these medicines to do the work of<br>their immune systems....their immune system will not develop, and they will always seem to be sick.<br><br>     This is pretty much what is going on with this Covid thing. If we are wearing masks everywhere, social distancing, <br>sanitizing our hands etc....aren&#39;t we pretty much doing the same thing ? weakening our immune systems ?<br>I am 57, almost 58 ( September this year ) and I do not wear a mask except where it is required. I have not had a sniffle<br>nor a fever the entire pandemic. The last time I was sick was 1996 with the flu. Statistically I should have got sick, but<br>I have not....and I believe it is because my parents allowed my immune system to develop. <br><br>.....Use it or lose it....."
181,"It’s been endemic.<br><br>It’ll be recognized as being endemic once it can no longer be manipulated and twisted into a winning political issue - which, mercifully, seems to be finally happening now."
182,"As always, we&#39;d love to include your questions in our upcoming shows! What would you like to know about the coronavirus pandemic? <a href=""http://www.youtube.com/results?search_query=%23askderrick"">#askDerrick</a>"
183,"Very funny! Great show! We want more of this, laughing is good for health."
184,I had Delta in 2020. Double vaccination of moderna from then . Than got omicron in 2021. I stuck with skin problems for all the two years. Still have skin problems. I believe is my immune system over acted.
185,"&quot;The two doses of the vaccine offer very limited protection, if any.&quot; Albert Bourla - Pfizer CEO"
186,Save Burma.We need justice.We need democracy.
187,"You have the right not to have the vaccine but you do not have the right to spread the virus and especially to those who are vulnerable, and to whom vaccines are not effective. Healthcare workers have the duty to “first do no harm” to their patients."
188,A lot of parents are going to find out what ZERO LIABILITY means the hard way unfortunately!
189,I guess every country has its own lot of nutters.
190,"Meeting Dr Ebhariagbe on YouTube is like meeting GOD himself because what you did in my life is what no doctor can do. Thank you for curing me from HIV virus completely<br><br>..,"
191,"Effective rate, anything, from any studies besides the company advertisement?"
192,Nw india has more than 5 vaccines
193,"I wonder why there is no data available on the number of antibodies vs. risk of getting heavilly ill. I did antibody tests myself several times already and after ~10 months after 2 dose Suptnik vaccination I still have ~550+ with a threshold of 0.80, however no idea if it&#39;s a lot or not and how well protected I am."
194,Poison is poison...the diffrence is the same
195,Big vague lies are the same as little sharp lies.
196,"All I&#39;m saying is that they also gave natives free blankets once and we all know how that story went, but keep trusting them."
197,"Well, what they don’t do is stop infection, symptoms, or transmission. “You had one job!”"
198,The  bottom line is they don&#39;t prevent the coof .
199,"I dont want to watch this video, but is DW still bigging up pfizer vaccine??"
200,What about Sanofi/GSK vaccin?
201,&quot;Offering homeopathy treatment&quot; basically means you&#39;re a quack.
202,&quot;Maybe that is a question you should ask Chy-na.&quot; DJT
203,"All the same results in the end, future medical issues or buried, pick one🤡"
204,The only thing that&#39;s waning faster than immunity is people&#39;s interest in this topic
205,Novax usa answer to former East Germany ally North America region Cuba Abdala &amp; Soberana protein subunit vaccines
206,"This was posted an hour ago? <br>A bit late, no? 😅"
207,Why wasn’t the Chinese vaccine offered.<br>They uses the old technology…….the ones we use for the flu vaccines every year.<br>It is safe .<br>It is mild and safe.<br>It is not as effective but it is an option for people who didn’t want the strong moderne or Pfizer vacc .<br>It is just as good in preventing deaths.
208,Trudeau must resign
209,🤣🤣🤣🤣🤣
210,It merked people... Cops wanna see me buried. Im not worried. Gotta get high or d__e I haven&#39;t cried sense elementary..U THINK U CAN DO THIS TO ME? 😠<br>Please quote me!! I&#39;m making people disappear u wonder where they went. Where&#39;s the end of all ur misery?<br>God
211,The Vaccines that are available and how they don&#39;t work that well....
212,They don&#39;t work
213,I got my booster shot of biontech vaccine 2 days ago. I hope everyone follow health official recommendations to protect us all against new variants.
214,"I&#39;m seeing un poked healthy people recover from Rona in 48 hours . Do not get poked unless your elderly or have health conditions,  you don&#39;t need it ....kids definitely not it&#39;s outrageous . Thrombosis is not rare neither is heart inflammation ...it is rife, I know many personally ."
215,💉😷⚰️
216,I would rather get omicron twice than Thrombosis from vector vaccine
217,Excellent. But it would be better if you stop showing needles 💉 in the arms:)
218,how tf people still believe this bs 😭 I mean c&#39;mon its been like 3 years and you&#39;d think they&#39;d have some common sense by then
219,They don&#39;t
220,"Y&#39;all still doing that,  huh? Lol. Bless your hearts."
221,How they work? No need to watch the video. Simple answer: They don&#39;t!
222,Why aren&#39;t people allowed to know the side effects ????
223,Pathetic.  Dw news can&#39;t even produce a balanced article.
224,"A journalist with purple hair gives us a &quot;run down&quot; for how different vaccines work. LOL LOL.  It would be the same like me explaining the principle of a combusting engine reading articles online. Because I lack  mechanical experience, its prone to simplifications to no use for anyone. Because I just dont understand the subject."
225,MANDATE FREEDO. MANDATE FREEDOM FREEDOM FREEDOM
226,They weaken your immune system
227,DW covid-19 special is our nr. 1 choice for legitimate information on covid.  For a fortnight now we have been unable to access it on YouTube here in the USA.  It is GREAT to have you back -- please ensure that your programming here continues to be available.  Thank you!
228,Taking care of your body seems pretty helpful.
229,Props to you Jack Parrock for your courage to report from inside the COVID ward. Serious dedication to your profession.
230,"This report was made in the Advent&#39;s Zeit, 2 mths ago. What is being done to advise the populace of Early Treatment possibilities in the first 5 days of infection to reduce the necessity of hospitalisation instead of waiting until the disease gets a hold of the immune system. And now we have Omicron. Different ball game."
231,Be a hermit so you don&#39;t have the chance to get it.<br>I&#39;m on IVIG (it contains both antibodies for the SARS-COV2 virus and variants as well as cross reactive antibodies to the SARS-COV2 virus) and I make an effort (about 95%) to be a hermit.<br>I will only go out to grab my shopping and to see the doctors.
232,"As always, we&#39;d love to include your questions in our upcoming shows! What would you like to know about the coronavirus pandemic? <a href=""http://www.youtube.com/results?search_query=%23askderrick"">#askDerrick</a>"
233,Why some infected patients are just having flu like symptoms while others have serious complications?
234,But VACCINES can save your live definitely. I mean lower the symptoms .
235,"Take sunlight, 30min daily, applied externally to max skin exposure"
236,finally sice the pandemic started somebody say how to help yourself.. nice
237,Talk to Dr Shankara Chetty in South Africa. He seems to have effective treatment sorted out long ago.
238,Is there any way to know when a person is vaccinated if the person is less or more likely to be having symptoms?
239,"Reading about people grabbing multi-figures monthly as income in investments even in this crazy days in the market,any pointers on how to make substantial progress in earnings?would be appreciated.."
240,If they&#39;ve made these antivirals so quickly then why haven&#39;t they made them before for the winter killer the flu????
241,"It&#39;s important to classify all therapy measure exposed as Advertisement, and ban the advertising of Medicine💊."
242,amazing how the unfaxxinated people are so healthy
243,"What makes the involvement of the German academic world in the discussion of Covid19 management, emerging data, and what&#39;s going on on the other parts of the world so low?"
244,"I had 2 vaccine, flu injection and the booster and I got carona"
245,"Great informative video, thank you DW."
246,"In some parts of Indonesia, the threat of paying for vaccine seems to have accelerate the uptake of the vaccine. <br>&quot;We have to pay. It must be good!&quot;"
247,the best information and explanation so far. thanks!
248,"2 years of not wearing masks, no vaccines, no nothing and I still haven&#39;t got it. According to “experts” I&#39;m VERY lucky so I&#39;m going to buy a lottery ticket tomorrow"
249,"Distance... Always and everywhere (and no,not Just 1 meter 😂) but 4 or 5.<br>And desinfect your hands.<br>Done"
250,Thirteen minutes in and still no discussion or revelation of &quot;What helps for Covid.&quot; I&#39;m out.
251,Boil Marijuana and drink it..its like a miracle
252,Organizing pneumonia. Viral replication phase - antiviral. Immuno dysregulation phase - steroid<br>Key is early treatment.
